the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
,2741726,4282767,VANDERVOORT AVENUE,,2020-01-30 14:39:00+00,,,Brooklyn,11211,1,0,1,0,0,0,0,0,1,"Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified","Flat Rack,Sedan,Sedan,Sedan,Pick-up Truck"
0101000020E6100000543A58FFE77C52C042226DE34F524440,2779922,4310960,ROGERS AVENUE,,2020-04-28 16:33:00+00,40.643063,-73.95166,Brooklyn,11226,1,0,1,0,0,0,0,0,1,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","Bus,Bike"
0101000020E610000009F9A067B38A52C0CEE2C5C2104D4440,2783797,4315124,ARLENE STREET,,2020-05-22 08:20:00+00,40.602074,-74.1672,Staten Island,,1,0,1,0,0,0,0,0,1,"Failure to Yield Right-of-Way,Traffic Control Disregarded","Pick-up Truck,Bike"
0101000020E610000056B77A4E7A7B52C04B0169FF03684440,2788498,4319421,PARK AVENUE,,2020-06-11 16:53:00+00,40.812622,-73.92934,Bronx,,1,0,1,0,0,0,0,0,1,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","Box Truck,Bike"
0101000020E610000075594C6C3E7E52C0AD6BB41CE8614440,2789942,4320573,5 AVENUE,,2020-06-16 08:52:00+00,40.764896,-73.97256,Manhattan,10022,1,0,1,0,0,0,0,0,1,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","Bike,Bus"
,2790847,4321576,SHORE ROAD,,2020-06-20 17:07:00+00,,,Bronx,,1,0,1,0,0,0,0,0,1,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","Station Wagon/Sport Utility Vehicle,Bike"
0101000020E6100000DC2A8881AE7952C05001309E41514440,3093736,4328970,,AVENUE L,2020-07-10 10:12:00+00,40.634815,-73.901276,Brooklyn,,1,0,1,0,0,0,0,0,1,"Driver Inattention/Distraction,Unspecified","Taxi,Bike"
0101000020E61000000A80F10C1A7A52C0F699B33EE5604440,3096164,4344340,31 AVENUE,,2020-09-02 23:23:00+00,40.756996,-73.90784,Queens,11377,1,0,1,0,0,0,0,0,1,"Traffic Control Disregarded,Unspecified","Bus,Bike"
0101000020E610000002124DA0887752C061545227A0694440,3095746,4344891,BRUCKNER BOULEVARD,,2020-09-04 09:32:00+00,40.8252,-73.867714,Bronx,,1,0,1,0,0,0,0,0,1,"Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","Sedan,Bike"
,3096524,4345624,Willis Avenue Bridge Pedestrian/,,2020-09-05 01:14:00+00,,,Bronx,,1,0,1,0,0,1,0,1,1,Unspecified,E-Bike
0101000020E6100000D1AFAD9FFE7D52C0D8BB3FDEAB4E4440,3097964,4346641,OCEAN PARKWAY,,2020-09-10 00:35:00+00,40.61462,-73.968666,Brooklyn,11230,1,0,1,0,0,0,0,0,1,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","Sedan,Bike"
0101000020E61000007250C24CDB7752C026E4839ECD6A4440,3084895,4336574,EAST 174 STREET,,2020-08-07 14:30:00+00,40.8344,-73.87276,Bronx,10472,1,0,1,0,0,0,0,0,1,"Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Bike"
0101000020E6100000486DE2E47E7D52C04B1FBAA0BE594440,3097153,4345623,WILLIAMSBURG STREET EAST,,2020-09-07 00:35:00+00,40.70113,-73.96087,Brooklyn,11249,1,0,1,0,0,0,0,0,1,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","Bus,Bike"
0101000020E6100000747B4963B47C52C0D07F0F5EBB6A4440,3082376,4338478,WEST 155 STREET,,2020-08-15 05:41:00+00,40.833843,-73.94851,Manhattan,10032,1,0,1,0,0,0,0,0,1,"Traffic Control Disregarded,Unspecified","Sedan,Bike"
,3097193,4345625,WEST DRIVE,,2020-09-07 19:47:00+00,,,Brooklyn,11226,1,0,1,0,0,0,0,0,1,Unspecified,Bike
0101000020E61000009E5E29CB107B52C0DA03ADC090674440,2786656,4318417,EAST 138 STREET,,2020-06-05 19:45:00+00,40.809105,-73.9229,Bronx,10454,1,0,1,0,0,0,0,0,1,"Unspecified,Unspecified","Taxi,Bike"
0101000020E610000021938C9C857F52C02B4D4A41B7554440,2661993,4201958,3 AVENUE,,2019-09-08 21:32:00+00,40.669655,-73.99253,Brooklyn,11215,1,0,1,0,0,0,0,0,1,"Unspecified,Unspecified","E-Bik,Garbage or Refuse"
,2668963,4195176,EAST DRIVE,,2019-08-26 15:21:00+00,,,Manhattan,,1,0,1,0,0,1,0,1,1,Other Vehicular,Bike
0101000020E61000008C101E6D1C7152C0C078060DFD534440,2686404,4223206,ROCKAWAY BOULEVARD,,2019-10-12 23:51:00+00,40.65616,-73.76736,Queens,11434,1,1,1,0,0,0,0,1,1,"Alcohol Involvement,Other Lighting Defects","Sedan,E-Sco"
